,pl_name,sy_snum,hostname,st_spectype
5691,TOI-4600 c,1,TOI-4600,K V
5693,TOI-4603 b,1,TOI-4603,F
5694,TOI-4633 c,2,TOI-4633,G V
5699,TOI-4666 b,1,TOI-4666,M2&plusmn;0.5
5701,TOI-470 b,1,TOI-470,G
5708,TOI-481 b,1,TOI-481,G
5709,TOI-4860 b,1,TOI-4860,M4.5+/-0.5
5713,TOI-4940 b,1,TOI-4940,G8 V
5716,TOI-500 b,1,TOI-500,K6 V
5717,TOI-500 c,1,TOI-500,K6 V
5718,TOI-500 d,1,TOI-500,K6 V
5719,TOI-500 e,1,TOI-500,K6 V
5720,TOI-5005 b,1,TOI-5005,G2 V
5721,TOI-5007 b,1,TOI-5007,M1&plusmn;0.5
5723,TOI-5076 b,2,TOI-5076,K2 V
5728,TOI-5126 b,1,TOI-5126,F V
5729,TOI-5126 c,1,TOI-5126,F V
5730,TOI-5143 c,1,TOI-5143,K V
5731,TOI-5153 b,1,TOI-5153,F8 V
5736,TOI-519 b,1,TOI-519,M3.5
5737,TOI-5205 b,1,TOI-5205,M4.0
5738,TOI-521 b,1,TOI-521,M3
5744,TOI-5292 A b,1,TOI-5292 A,M0&plusmn;0.5
5745,TOI-5293 A b,2,TOI-5293 A,M3+/-1
5746,TOI-530 b,1,TOI-530,M0.5 V
5747,TOI-5300 b,1,TOI-5300,K4 V
5749,TOI-5319 b,1,TOI-5319,M
5755,TOI-5349 b,1,TOI-5349,M1+/-0.5
5759,TOI-5388.01,1,TOI-5388,M3.0 V
5760,TOI-5398 b,1,TOI-5398,G V
5761,TOI-5398 c,1,TOI-5398,G V
5762,TOI-540 b,1,TOI-540,M V
5772,TOI-5542 b,1,TOI-5542,G3 V
5774,TOI-558 b,1,TOI-558,F V
5775,TOI-559 b,1,TOI-559,G V
5780,TOI-561 b,1,TOI-561,G9 V
5781,TOI-561 c,1,TOI-561,G9 V
5792,TOI-5678 b,1,TOI-5678,G7 V
5795,TOI-5713 b,1,TOI-5713,M3.5+/-0.5
5797,TOI-5720 b,1,TOI-5720,M3.5 +/- 1.0
5800,TOI-5734 b,1,TOI-5734,K3-K4 V
5806,TOI-5789 b,1,TOI-5789,K1 V
5807,TOI-5789 c,1,TOI-5789,K1 V
5808,TOI-5789 d,1,TOI-5789,K1 V
5809,TOI-5789 e,1,TOI-5789,K1 V
5810,TOI-5795 b,1,TOI-5795,G3 V
5811,TOI-5799 b,1,TOI-5799,M2 V
5812,TOI-5799 c,1,TOI-5799,M2 V
5813,TOI-5800 b,1,TOI-5800,K3 V
5815,TOI-5817 b,2,TOI-5817,G2 IV-V
5817,TOI-5916 b,1,TOI-5916,M2&plusmn;0.5
5821,TOI-6002 b,1,TOI-6002,M3.5+/-0.5
5822,TOI-6008 b,1,TOI-6008,M5.0
5823,TOI-6016 b,1,TOI-6016,F
5827,TOI-6041 b,1,TOI-6041,G7
5828,TOI-6041 c,1,TOI-6041,G7
5832,TOI-6086 b,1,TOI-6086,M3.0
5833,TOI-6109 b,1,TOI-6109,G3
5834,TOI-6109 c,1,TOI-6109,G3
5835,TOI-6130 b,1,TOI-6130,F
5836,TOI-615 b,1,TOI-615,F2 V
5837,TOI-620 b,1,TOI-620,M2.5 V
5838,TOI-622 b,1,TOI-622,F6 V
5839,TOI-6223 b,1,TOI-6223,M0 V
5846,TOI-6383 A b,2,TOI-6383 A,M3
5851,TOI-6478 b,2,TOI-6478,M4.0+/-0.5
5852,TOI-654.01,1,TOI-654,M2 V
5854,TOI-663 b,1,TOI-663,M1 V
5855,TOI-663 c,1,TOI-663,M1 V
5856,TOI-663 d,1,TOI-663,M1 V
5861,TOI-6695 b,1,TOI-6695,F5V-G0V
5862,TOI-6695 c,1,TOI-6695,F5V-G0V
5865,TOI-6716 b,1,TOI-6716,M4
5866,TOI-672 b,1,TOI-672,M0 V
5867,TOI-674 b,1,TOI-674,M2 V
5868,TOI-677 b,1,TOI-677,F8
5873,TOI-700 b,1,TOI-700,M2.5 V
5874,TOI-700 c,1,TOI-700,M2.5 V
5875,TOI-700 d,1,TOI-700,M2 V
5876,TOI-700 e,1,TOI-700,M2.5 V
5881,TOI-712 b,1,TOI-712,K4.5 V
5882,TOI-712 c,1,TOI-712,K4.5 V
5883,TOI-712 d,1,TOI-712,K4.5 V
5884,TOI-7149 b,1,TOI-7149,M4 V
5885,TOI-715 b,1,TOI-715,M4
5887,TOI-7166 b,1,TOI-7166,M4.5 V
5888,TOI-733 b,1,TOI-733,G
5890,TOI-7384 b,1,TOI-7384,M4
5891,TOI-7510 b,1,TOI-7510,G3
5892,TOI-7510 c,1,TOI-7510,G3
5893,TOI-7510 d,1,TOI-7510,G3
5894,TOI-756 b,1,TOI-756,M1 V
5895,TOI-756 c,1,TOI-756,M1 V
5896,TOI-757 b,1,TOI-757,K0 V
5898,TOI-763 b,1,TOI-763,G
5899,TOI-763 c,1,TOI-763,G
5900,TOI-771 b,1,TOI-771,M3
5901,TOI-771 c,1,TOI-771,M3
5902,TOI-776 b,1,TOI-776,M1 V
5903,TOI-776 c,1,TOI-776,M1 V
5904,TOI-778 b,1,TOI-778,F3 V
5906,TOI-784 b,1,HD 307842,G
5909,TOI-813 b,1,TOI-813,G0 IV
5910,TOI-815 b,2,TOI-815,K3 V
5911,TOI-815 c,2,TOI-815,K3 V
5912,TOI-824 b,1,TOI-824,K4 V
5914,TOI-836 b,1,TOI-836,K V
5915,TOI-836.01,1,TOI-836,K V
5916,TOI-837 b,1,TOI-837,G0/F9 V
5917,TOI-849 b,1,TOI-849,G
5918,TOI-858 B b,2,TOI-858 B,G0
5920,TOI-880 c,1,TOI-880,K
5921,TOI-880.02,1,TOI-880,K
5923,TOI-892 b,1,TOI-892,F
5928,TOI-908 b,1,TOI-908,G V
5929,TOI-912 b,1,TOI-912,M3
5935,TOI-942 b,1,TOI-942,K2.5 V
5936,TOI-942 c,1,TOI-942,K2.5 V
5938,TOI-969 b,1,TOI-969,K V
5939,TOI-969 c,1,TOI-969,K V
5942,TRAPPIST-1 d,1,TRAPPIST-1,M8.0 V
5951,TYC 2187-512-1 b,1,TYC 2187-512-1,M1.0 V
5955,TYC 8998-760-1 b,1,TYC 8998-760-1,K3 IV
5957,Teegarden's Star b,1,Teegarden's Star,M7.0 V
5958,Teegarden's Star c,1,Teegarden's Star,M7.0 V
5960,TrES-1 b,2,TrES-1,K0 V
5961,TrES-2 b,2,TrES-2,G0 V
5962,TrES-3 b,1,TrES-3,G4 V
5965,UCAC3 113-933 b,1,UCAC3 113-933,M0
5966,UCAC4 328-061594 b,1,UCAC4 328-061594,DC
5968,USco CTIO 108 b,1,USco CTIO 108,M7
5969,USco1556 b,1,USco1556 A,M3.0 V
5970,USco1621 b,1,USco1621 A,M2.5 V
5974,V1298 Tau b,3,V1298 Tau,K1
5975,V1298 Tau c,3,V1298 Tau,K1
5976,V1298 Tau d,3,V1298 Tau,K1
5977,V1298 Tau e,3,V1298 Tau,K1
5978,V2376 Ori b,1,V2376 Ori,M
5979,VHS J125601.92-125723.9 b,2,VHS J125601.92-125723.9,M7.5
5980,WASP-1 b,2,WASP-1,F7 V
5981,WASP-10 b,1,WASP-10,K5 V
5982,WASP-100 b,2,WASP-100,F2
5983,WASP-101 b,1,WASP-101,F6
5985,WASP-103 b,1,WASP-103,F8 V
5986,WASP-104 b,2,WASP-104,G8
5987,WASP-105 b,1,WASP-105,K2
5988,WASP-106 b,1,WASP-106,F9 D
5989,WASP-107 b,1,WASP-107,K6
5990,WASP-107 c,1,WASP-107,K6
5991,WASP-108 b,1,WASP-108,F9
5992,WASP-11 b,3,WASP-11,K3 V
5993,WASP-110 b,1,WASP-110,G9
5994,WASP-113 b,1,WASP-113,G1
5995,WASP-114 b,2,WASP-114,G0
5997,WASP-117 b,1,WASP-117,F9
5998,WASP-118 b,1,WASP-118,F6
5999,WASP-119 b,1,WASP-119,G5
6001,WASP-120 b,1,WASP-120,F5
6002,WASP-121 b,1,WASP-121,F6 V
6003,WASP-123 b,2,WASP-123,G5
6004,WASP-124 b,1,WASP-124,F9
6005,WASP-126 b,1,WASP-126,G2
6008,WASP-129 b,2,WASP-129,G1
6010,WASP-130 b,1,WASP-130,G6
6011,WASP-131 b,1,WASP-131,G0
6012,WASP-132 b,1,WASP-132,K4
6013,WASP-132 c,1,WASP-132,K4 V
6014,WASP-132 d,1,WASP-132,K4 V
6015,WASP-133 b,1,WASP-133,G4
6016,WASP-135 b,1,WASP-135,G5 V
6017,WASP-136 b,1,WASP-136,F
6019,WASP-139 b,2,WASP-139,K0
6021,WASP-140 b,2,WASP-140,K0
6022,WASP-141 b,1,WASP-141,F9
6023,WASP-142 b,1,WASP-142,F8
6024,WASP-144 b,1,WASP-144,K2 V
6025,WASP-145 A b,2,WASP-145 A,K2 V
6026,WASP-147 b,1,WASP-147,G4
6027,WASP-148 b,1,WASP-148,G
6028,WASP-148 c,1,WASP-148,G
6030,WASP-15 b,1,WASP-15,F7
6031,WASP-150 b,1,WASP-150,F8
6032,WASP-151 b,1,WASP-151,G1
6033,WASP-153 b,1,WASP-153,G0
6036,WASP-156 b,1,WASP-156,K3
6037,WASP-157 b,1,WASP-157,G2 V
6038,WASP-158 b,1,WASP-158,F6 V
6039,WASP-159 b,1,WASP-159,F9
6041,WASP-160 B b,2,WASP-160 B,K0 V
6043,WASP-162 b,1,WASP-162,K0
6045,WASP-164 b,1,WASP-164,G2 V
6046,WASP-165 b,1,WASP-165,G6
6047,WASP-166 b,1,WASP-166,F9
6048,WASP-167 b,1,WASP-167,F1 V
6049,WASP-168 b,2,WASP-168,F9 V
6050,WASP-169 b,1,WASP-169,F8
6051,WASP-17 b,1,WASP-17,F4
6053,WASP-171 b,1,WASP-171,G0
6054,WASP-172 b,1,WASP-172,F1 V
6055,WASP-173 A b,2,WASP-173 A,G3
6056,WASP-174 b,1,WASP-174,F6 V
6057,WASP-175 b,1,WASP-175,F7
6058,WASP-176 b,1,WASP-176,F9
6059,WASP-177 b,1,WASP-177,K2
6060,WASP-178 b,1,WASP-178,A1 IV-V
6061,WASP-18 b,2,WASP-18,F6 IV-V
6062,WASP-180 A b,2,WASP-180 A,F7 V
6063,WASP-181 b,1,WASP-181,G2
6064,WASP-182 b,1,WASP-182,G5
6065,WASP-183 b,1,WASP-183,G9
6066,WASP-184 b,1,WASP-184,G0 V
6067,WASP-185 b,1,WASP-185,G0 V
6068,WASP-186 b,1,WASP-186,F
6069,WASP-187 b,1,WASP-187,F
6072,WASP-19 b,1,WASP-19,G8 V
6073,WASP-190 b,1,WASP-190,F6 IV-V
6074,WASP-192 b,1,WASP-192,G0 V
6075,WASP-193 b,2,WASP-193,F9
6079,WASP-2 b,2,WASP-2,K1 V
6080,WASP-20 b,2,WASP-20,F9
6081,WASP-21 b,1,WASP-21,G3 V
6082,WASP-22 b,1,WASP-22,G1 V
6086,WASP-26 b,2,WASP-26,G0
6087,WASP-28 b,1,WASP-28,F8
6092,WASP-33 b,2,WASP-33,A
6097,WASP-38 b,1,WASP-38,F8 V
6099,WASP-4 b,1,WASP-4,G7 V
6103,WASP-43 b,1,WASP-43,K7 V
6104,WASP-44 b,1,WASP-44,G8 V
6105,WASP-45 b,2,WASP-45,K2 V
6106,WASP-46 b,1,WASP-46,G6 V
6107,WASP-47 b,1,WASP-47,G9
6108,WASP-47 c,1,WASP-47,G9
6109,WASP-47 d,1,WASP-47,G9
6110,WASP-47 e,1,WASP-47,G9
6112,WASP-49 b,2,WASP-49,G6 V
6113,WASP-5 b,1,WASP-5,G5
6115,WASP-52 b,1,WASP-52,K2 V
6118,WASP-54 b,2,WASP-54,F9
6120,WASP-56 b,2,WASP-56,G6
6121,WASP-57 b,1,WASP-57,G6
6122,WASP-58 b,2,WASP-58,G2 V
6123,WASP-59 b,1,WASP-59,K5 V
6125,WASP-60 b,1,WASP-60,G1 V
6129,WASP-64 b,2,WASP-64,G7
6130,WASP-65 b,1,WASP-65,G6
6133,WASP-68 b,2,WASP-68,G0
6134,WASP-69 b,1,WASP-69,K5
6136,WASP-70 A b,2,WASP-70 A,G4
6137,WASP-71 b,1,WASP-71,F8
6138,WASP-72 b,1,WASP-72,F7
6139,WASP-73 b,1,WASP-73,F9
6140,WASP-74 b,1,WASP-74,F9
6141,WASP-75 b,2,WASP-75,F9
6142,WASP-76 b,2,WASP-76,F7
6143,WASP-77 A b,2,WASP-77 A,G8 V
6145,WASP-79 b,1,WASP-79,F5
6146,WASP-8 b,2,WASP-8,G8 V
6148,WASP-80 b,1,WASP-80,K7 V
6150,WASP-82 b,1,WASP-82,F5
6151,WASP-83 b,1,WASP-83,G8
6152,WASP-84 b,1,WASP-84,K0
6153,WASP-84 c,1,WASP-84,K0
6154,WASP-85 A b,2,WASP-85 A,G5 V
6156,WASP-88 b,1,WASP-88,F6
6157,WASP-89 b,1,WASP-89,K3
6158,WASP-90 b,1,WASP-90,F6
6159,WASP-91 b,1,WASP-91,K3
6160,WASP-92 b,1,WASP-92,F7
6161,WASP-93 b,1,WASP-93,F4
6162,WASP-94 A b,2,WASP-94 A,F8
6163,WASP-94 B b,2,WASP-94 B,F9
6164,WASP-95 b,1,WASP-95,G2
6165,WASP-96 b,1,WASP-96,G8
6166,WASP-97 b,1,WASP-97,G5
6167,WASP-98 b,2,WASP-98,G7
6168,WASP-99 b,1,WASP-99,F8
6169,WD 0806-661 b,1,WD 0806-661,DQ
6170,WD 1856+534 b,3,WD 1856+534,DC
6172,WISEP J121756.91+162640.2 A b,1,WISEP J121756.91+162640.2 A,T8.5
6173,WISPIT 1 b,2,WISPIT 1,K4 V
6174,WISPIT 1 c,2,WISPIT 1,K4 V
6177,WTS-1 b,1,WTS-1,F6 V
6178,WTS-2 b,1,WTS-2,K2 V
6179,Wendelstein-1 b,1,Wendelstein-1,K7 V
6180,Wendelstein-2 b,1,Wendelstein-2,K6 V
6181,Wolf 1061 b,1,Wolf 1061,M3/3.5 V
6182,Wolf 1061 c,1,Wolf 1061,M3/3.5 V
6183,Wolf 1061 d,1,Wolf 1061,M3/3.5 V
6184,Wolf 1069 b,1,Wolf 1069,M5.0 V
6185,Wolf 327 b,1,Wolf 327,M2.5 V
6186,Wolf 503 b,1,Wolf 503,K3.5 V
6187,XO-1 b,1,XO-1,G1 V
6188,XO-2 N b,2,XO-2 N,G8 V
6189,XO-2 S b,2,XO-2 S,G8 V
6190,XO-2 S c,2,XO-2 S,G8 V
6191,XO-2 S d,2,XO-2 S,G8 V
6192,XO-3 b,1,XO-3,F5V
6193,XO-4 b,1,XO-4,F5 V
6194,XO-5 b,1,XO-5,G8 V
6195,XO-6 b,1,XO-6,F5
6196,XO-7 b,1,XO-7,G0 V
6197,YZ Cet b,1,YZ Cet,M4.5
6198,YZ Cet c,1,YZ Cet,M4 V
6199,YZ Cet d,1,YZ Cet,M4.5
6203,b Cen AB b,2,b Cen A,B2.5 V
6204,bet Cnc b,2,bet Cnc,K4 III
6207,bet UMi b,1,bet UMi,K4 III
6208,eps CrB b,1,eps CrB,K2 III
6209,eps Eri b,1,eps Eri,K2 V
6210,eps Ind A b,3,eps Ind A,K2 V
6211,eps Tau b,1,eps Tau,K0 III
6212,gam Cep b,2,gam Cep,K1 IV
6213,gam Lib b,1,gam Lib,K0 III
6214,gam Lib c,1,gam Lib,K0 III
6215,gam Psc b,1,gam Psc,G7 III
6217,iot Dra b,1,iot Dra,K2 III
6218,iot Dra c,1,iot Dra,K2 III
6219,kap And b,1,kap And,B9 IVn
6220,kap CrB b,1,kap CrB,K0 III-IV
6221,mu Leo b,1,mu Leo,K2 III
6222,mu2 Sco b,1,mu2 Sco,B2 IV
6223,nu Oph b,1,nu Oph,K0 III
6224,nu Oph c,1,nu Oph,K0 III
6225,ome Ser b,2,ome Ser,G8 III
6226,omi CrB b,1,omi CrB,K0 III
6227,omi UMa b,2,omi UMa,G4 II-III
6228,pi Men c,1,HD 39091,G0 V
6230,psi1 Dra B b,3,psi1 Dra B,G0 V
6231,rho CrB c,1,rho CrB,G0
6232,rho CrB e,1,rho CrB,G0
6233,tau Boo b,2,tau Boo,F7 V
6234,tau Gem b,1,tau Gem,K2 III
6235,ups And b,2,ups And,F8 V
6236,ups And c,2,ups And,F8 V
6237,ups And d,2,ups And,F8 V
6238,ups Leo b,1,ups Leo,G9 III
6239,xi Aql b,1,xi Aql,K0 III
