,pl_name,sy_snum,discoverymethod,disc_year,pl_radj,pl_bmassj
1431,TOI-7510 d,1,Transit,2025.0,0.931,0.6849000000000001
1432,TOI-756 b,1,Transit,2025.0,0.25069184,0.03092864
1433,TOI-757 b,1,Transit,2024.0,0.22303545,0.03303669
1434,TOI-762 A b,2,Transit,2024.0,0.744,0.251
1435,TOI-763 b,1,Transit,2020.0,0.20340798,0.03080263
1436,TOI-763 c,1,Transit,2020.0,0.23463288,0.02932385
1437,TOI-771 b,1,Transit,2024.0,0.12133128,0.00777149
1438,TOI-776 b,1,Transit,2020.0,0.16272651999999999,0.01415855
1439,TOI-776 c,1,Transit,2020.0,0.181416875,0.019192704999999997
1440,TOI-778 b,1,Transit,2023.0,1.37,2.8
1441,TOI-782 b,1,Transit,2024.0,0.24391156,0.06009532
1442,TOI-784 b,1,Transit,2023.0,0.17218336,0.03042522
1443,TOI-815 b,2,Transit,2024.0,0.26228968,0.02391227
1444,TOI-815 c,2,Transit,2024.0,0.23374115,0.07393927
1445,TOI-824 b,1,Transit,2020.0,0.26104024,0.05810339
1446,TOI-836 b,1,Transit,2023.0,0.15202096,0.01425297
1447,TOI-836.01,1,Transit,2021.0,0.23079708,0.03020498
1448,TOI-837 b,1,Transit,2020.0,0.818,0.379
1449,TOI-849 b,1,Transit,2020.0,0.315996355,0.127253895
1450,TOI-858 B b,2,Transit,2023.0,1.255,1.1
1451,TOI-892 b,1,Transit,2020.0,1.07,0.95
1452,TOI-905 b,1,Transit,2020.0,1.171,0.667
1453,TOI-908 b,1,Transit,2023.0,0.28423637,0.05077268
1454,TOI-912 b,1,Transit,2025.0,0.17218336,0.01604639
1455,TOI-942 b,1,Transit,2020.0,0.403782675,1.32517069
1456,TOI-942 c,1,Transit,2020.0,0.47207601,1.30820722
1457,TOI-954 b,1,Transit,2020.0,0.852,0.174
1458,TOI-969 b,1,Transit,2022.0,0.2466772,0.0286318
1459,TRAPPIST-1 b,1,Transit,2016.0,0.09956302,0.00319982
1460,TRAPPIST-1 c,1,Transit,2016.0,0.09768936,0.00411543
1461,TRAPPIST-1 d,1,Transit,2016.0,0.070122285,0.00122078
1462,TRAPPIST-1 e,1,Transit,2017.0,0.08189847,0.00217728
1463,TRAPPIST-1 f,1,Transit,2017.0,0.09322882,0.00293868
1464,TRAPPIST-1 g,1,Transit,2017.0,0.10072281,0.00415633
